iso_a3,country,usd_price,date
IND,India,2.45,2026-07-01
CHN,China,3.91,2026-07-01
USA,United States,6.22,2026-07-01
IDN,Indonesia,2.38,2026-07-01
PAK,Pakistan,3.89,2026-07-01
BRA,Brazil,4.71,2026-07-01
MEX,Mexico,6.27,2026-07-01
JPN,Japan,3.08,2026-07-01
EGY,Egypt,2.87,2026-07-01
PHL,Philippines,2.74,2026-07-01
VNM,Vietnam,2.89,2026-07-01
TUR,Turkey,6.91,2026-07-01
THA,Thailand,4.02,2026-07-01
GBR,United Kingdom,7.4,2026-07-01
ZAF,South Africa,3.49,2026-07-01
COL,Colombia,8.0,2026-07-01
KOR,South Korea,3.84,2026-07-01
ARG,Argentina,5.91,2026-07-01
CAN,Canada,5.81,2026-07-01
UKR,Ukraine,3.34,2026-07-01
POL,Poland,6.22,2026-07-01
MYS,Malaysia,3.57,2026-07-01
PER,Peru,4.99,2026-07-01
SAU,Saudi Arabia,5.06,2026-07-01
VEN,Venezuela,4.51,2026-07-01
AUS,Australia,5.95,2026-07-01
CHL,Chile,5.41,2026-07-01
ROU,Romania,4.01,2026-07-01
GTM,Guatemala,4.46,2026-07-01
JOR,Jordan,3.53,2026-07-01
ARE,United Arab Emirates,5.17,2026-07-01
CZE,Czechia,5.43,2026-07-01
HND,Honduras,5.19,2026-07-01
SWE,Sweden,7.16,2026-07-01
AZE,Azerbaijan,4.26,2026-07-01
HUN,Hungary,5.3,2026-07-01
ISR,Israel,7.67,2026-07-01
CHE,Switzerland,9.04,2026-07-01
NIC,Nicaragua,5.11,2026-07-01
DNK,Denmark,7.04,2026-07-01
SGP,Singapore,5.77,2026-07-01
NOR,Norway,8.05,2026-07-01
LBN,Lebanon,5.36,2026-07-01
OMN,Oman,3.97,2026-07-01
NZL,New Zealand,5.14,2026-07-01
CRI,Costa Rica,7.0,2026-07-01
KWT,Kuwait,4.52,2026-07-01
URY,Uruguay,8.94,2026-07-01
QAT,Qatar,4.94,2026-07-01
MDA,Moldova,4.56,2026-07-01
BHR,Bahrain,4.77,2026-07-01
