iso3,country,region,subregion,population_millions
IND,India,Asia,Southern Asia,1451.0
CHN,China,Asia,Eastern Asia,1419.0
USA,United States,North America,Northern America,345.0
IDN,Indonesia,Asia,Southeastern Asia,283.0
PAK,Pakistan,Asia,Southern Asia,251.0
NGA,Nigeria,Africa,Western Africa,233.0
BRA,Brazil,South America,South America,212.0
BGD,Bangladesh,Asia,Southern Asia,174.0
RUS,Russia,Europe,Eastern Europe,144.0
ETH,Ethiopia,Africa,Eastern Africa,132.0
MEX,Mexico,North America,Central America,131.0
JPN,Japan,Asia,Eastern Asia,124.0
EGY,Egypt,Africa,Northern Africa,116.0
PHL,Philippines,Asia,Southeastern Asia,116.0
COD,DR Congo,Africa,Middle Africa,109.0
VNM,Vietnam,Asia,Southeastern Asia,101.0
IRN,Iran,Asia,Southern Asia,92.0
TUR,Turkey,Asia,Western Asia,87.0
DEU,Germany,Europe,Western Europe,85.0
THA,Thailand,Asia,Southeastern Asia,72.0
GBR,United Kingdom,Europe,Northern Europe,69.0
TZA,Tanzania,Africa,Eastern Africa,69.0
FRA,France,Europe,Western Europe,66.0
ZAF,South Africa,Africa,Southern Africa,63.0
ITA,Italy,Europe,Southern Europe,59.0
KEN,Kenya,Africa,Eastern Africa,56.0
MMR,Myanmar,Asia,Southeastern Asia,54.0
COL,Colombia,South America,South America,53.0
KOR,South Korea,Asia,Eastern Asia,52.0
SDN,Sudan,Africa,Northern Africa,50.0
UGA,Uganda,Africa,Eastern Africa,50.0
ESP,Spain,Europe,Southern Europe,48.0
DZA,Algeria,Africa,Northern Africa,47.0
IRQ,Iraq,Asia,Western Asia,46.0
ARG,Argentina,South America,South America,46.0
AFG,Afghanistan,Asia,Southern Asia,43.0
CAN,Canada,North America,Northern America,41.0
YEM,Yemen,Asia,Western Asia,41.0
MAR,Morocco,Africa,Northern Africa,38.0
AGO,Angola,Africa,Middle Africa,38.0
UKR,Ukraine,Europe,Eastern Europe,38.0
POL,Poland,Europe,Eastern Europe,37.0
UZB,Uzbekistan,Asia,Central Asia,36.0
MYS,Malaysia,Asia,Southeastern Asia,36.0
MOZ,Mozambique,Africa,Eastern Africa,35.0
PER,Peru,South America,South America,34.0
GHA,Ghana,Africa,Western Africa,34.0
SAU,Saudi Arabia,Asia,Western Asia,34.0
CIV,Côte d'Ivoire,Africa,Western Africa,32.0
MDG,Madagascar,Africa,Eastern Africa,32.0
NPL,Nepal,Asia,Southern Asia,30.0
CMR,Cameroon,Africa,Middle Africa,29.0
VEN,Venezuela,South America,South America,28.0
NER,Niger,Africa,Western Africa,27.0
AUS,Australia,Oceania,Australia/NZ,27.0
PRK,North Korea,Asia,Eastern Asia,26.0
SYR,Syria,Asia,Western Asia,25.0
MLI,Mali,Africa,Western Africa,24.0
BFA,Burkina Faso,Africa,Western Africa,23.0
LKA,Sri Lanka,Asia,Southern Asia,22.0
MWI,Malawi,Africa,Eastern Africa,22.0
ZMB,Zambia,Africa,Eastern Africa,21.0
KAZ,Kazakhstan,Asia,Central Asia,21.0
CHL,Chile,South America,South America,20.0
ROU,Romania,Europe,Eastern Europe,19.0
SOM,Somalia,Africa,Eastern Africa,19.0
SEN,Senegal,Africa,Western Africa,18.0
GTM,Guatemala,North America,Central America,18.0
TCD,Chad,Africa,Middle Africa,18.0
NLD,Netherlands,Europe,Western Europe,18.0
ECU,Ecuador,South America,South America,18.0
KHM,Cambodia,Asia,Southeastern Asia,18.0
ZWE,Zimbabwe,Africa,Eastern Africa,17.0
GIN,Guinea,Africa,Western Africa,15.0
BEN,Benin,Africa,Western Africa,14.0
RWA,Rwanda,Africa,Eastern Africa,14.0
BDI,Burundi,Africa,Eastern Africa,14.0
BOL,Bolivia,South America,South America,12.0
TUN,Tunisia,Africa,Northern Africa,12.0
SSD,South Sudan,Africa,Eastern Africa,12.0
HTI,Haiti,North America,Caribbean,12.0
BEL,Belgium,Europe,Western Europe,12.0
JOR,Jordan,Asia,Western Asia,11.0
DOM,Dominican Republic,North America,Caribbean,11.0
CUB,Cuba,North America,Caribbean,11.0
ARE,United Arab Emirates,Asia,Western Asia,11.0
CZE,Czechia,Europe,Eastern Europe,10.9
HND,Honduras,North America,Central America,10.8
TJK,Tajikistan,Asia,Central Asia,10.6
SWE,Sweden,Europe,Northern Europe,10.6
PNG,Papua New Guinea,Oceania,Melanesia,10.6
AZE,Azerbaijan,Asia,Western Asia,10.4
PRT,Portugal,Europe,Southern Europe,10.4
GRC,Greece,Europe,Southern Europe,10.4
HUN,Hungary,Europe,Eastern Europe,9.6
TGO,Togo,Africa,Western Africa,9.5
ISR,Israel,Asia,Western Asia,9.4
AUT,Austria,Europe,Western Europe,9.2
BLR,Belarus,Europe,Eastern Europe,9.1
CHE,Switzerland,Europe,Western Europe,8.9
SLE,Sierra Leone,Africa,Western Africa,8.6
LAO,Laos,Asia,Southeastern Asia,7.8
TKM,Turkmenistan,Asia,Central Asia,7.5
LBY,Libya,Africa,Northern Africa,7.4
KGZ,Kyrgyzstan,Asia,Central Asia,7.2
NIC,Nicaragua,North America,Central America,7.0
PRY,Paraguay,South America,South America,6.9
SRB,Serbia,Europe,Southern Europe,6.6
BGR,Bulgaria,Europe,Eastern Europe,6.4
COG,Republic of the Congo,Africa,Middle Africa,6.3
SLV,El Salvador,North America,Central America,6.3
DNK,Denmark,Europe,Northern Europe,6.0
SGP,Singapore,Asia,Southeastern Asia,6.0
CAF,Central African Republic,Africa,Middle Africa,5.7
LBR,Liberia,Africa,Western Africa,5.6
FIN,Finland,Europe,Northern Europe,5.6
NOR,Norway,Europe,Northern Europe,5.6
LBN,Lebanon,Asia,Western Asia,5.5
PSE,Palestine,Asia,Western Asia,5.5
SVK,Slovakia,Europe,Eastern Europe,5.4
IRL,Ireland,Europe,Northern Europe,5.3
OMN,Oman,Asia,Western Asia,5.3
NZL,New Zealand,Oceania,Australia/NZ,5.3
MRT,Mauritania,Africa,Western Africa,5.2
CRI,Costa Rica,North America,Central America,5.2
KWT,Kuwait,Asia,Western Asia,4.9
PAN,Panama,North America,Central America,4.5
HRV,Croatia,Europe,Southern Europe,3.9
GEO,Georgia,Asia,Western Asia,3.8
ERI,Eritrea,Africa,Eastern Africa,3.6
MNG,Mongolia,Asia,Eastern Asia,3.5
URY,Uruguay,South America,South America,3.4
BIH,Bosnia and Herzegovina,Europe,Southern Europe,3.2
QAT,Qatar,Asia,Western Asia,3.1
NAM,Namibia,Africa,Southern Africa,3.0
ARM,Armenia,Asia,Western Asia,3.0
MDA,Moldova,Europe,Eastern Europe,3.0
LTU,Lithuania,Europe,Northern Europe,2.9
JAM,Jamaica,North America,Caribbean,2.8
ALB,Albania,Europe,Southern Europe,2.8
GMB,Gambia,Africa,Western Africa,2.8
BWA,Botswana,Africa,Southern Africa,2.5
GAB,Gabon,Africa,Middle Africa,2.5
LSO,Lesotho,Africa,Southern Africa,2.4
GNB,Guinea-Bissau,Africa,Western Africa,2.2
SVN,Slovenia,Europe,Southern Europe,2.1
LVA,Latvia,Europe,Northern Europe,1.9
GNQ,Equatorial Guinea,Africa,Middle Africa,1.9
MKD,North Macedonia,Europe,Southern Europe,1.8
BHR,Bahrain,Asia,Western Asia,1.6
TTO,Trinidad and Tobago,North America,Caribbean,1.4
EST,Estonia,Europe,Northern Europe,1.4
TLS,Timor-Leste,Asia,Southeastern Asia,1.4
CYP,Cyprus,Asia,Western Asia,1.4
MUS,Mauritius,Africa,Eastern Africa,1.3
SWZ,Eswatini,Africa,Southern Africa,1.2
DJI,Djibouti,Africa,Eastern Africa,1.1
FJI,Fiji,Oceania,Melanesia,0.93
COM,Comoros,Africa,Eastern Africa,0.87
SLB,Solomon Islands,Oceania,Melanesia,0.83
GUY,Guyana,South America,South America,0.83
BTN,Bhutan,Asia,Southern Asia,0.79
LUX,Luxembourg,Europe,Western Europe,0.67
SUR,Suriname,South America,South America,0.63
MNE,Montenegro,Europe,Southern Europe,0.63
MLT,Malta,Europe,Southern Europe,0.56
CPV,Cabo Verde,Africa,Western Africa,0.53
MDV,Maldives,Asia,Southern Asia,0.53
BRN,Brunei,Asia,Southeastern Asia,0.46
BLZ,Belize,North America,Central America,0.42
BHS,Bahamas,North America,Caribbean,0.4
ISL,Iceland,Europe,Northern Europe,0.39
VUT,Vanuatu,Oceania,Melanesia,0.34
BRB,Barbados,North America,Caribbean,0.28
STP,São Tomé and Príncipe,Africa,Middle Africa,0.24
WSM,Samoa,Oceania,Polynesia,0.22
LCA,Saint Lucia,North America,Caribbean,0.18
KIR,Kiribati,Oceania,Micronesia,0.13
SYC,Seychelles,Africa,Eastern Africa,0.13
GRD,Grenada,North America,Caribbean,0.12
FSM,Micronesia,Oceania,Micronesia,0.12
TON,Tonga,Oceania,Polynesia,0.11
VCT,Saint Vincent and the Grenadines,North America,Caribbean,0.1
ATG,Antigua and Barbuda,North America,Caribbean,0.09
AND,Andorra,Europe,Southern Europe,0.081
DMA,Dominica,North America,Caribbean,0.073
KNA,Saint Kitts and Nevis,North America,Caribbean,0.047
MHL,Marshall Islands,Oceania,Micronesia,0.042
LIE,Liechtenstein,Europe,Western Europe,0.04
MCO,Monaco,Europe,Western Europe,0.039
SMR,San Marino,Europe,Southern Europe,0.034
PLW,Palau,Oceania,Micronesia,0.018
NRU,Nauru,Oceania,Micronesia,0.013
TUV,Tuvalu,Oceania,Polynesia,0.011
VAT,Vatican City,Europe,Southern Europe,0.001
