iso3,country,gdp_per_capita_usd,gni_per_capita_usd,population,year
IND,India,2592.0,2550.0,1451.0,2024
CHN,China,13293.0,13660.0,1419.0,2024
USA,United States,86170.0,82910.0,345.0,2024
IDN,Indonesia,4925.0,4920.0,283.0,2024
PAK,Pakistan,1479.0,1430.0,251.0,2024
NGA,Nigeria,1084.0,1710.0,233.0,2024
BRA,Brazil,10311.0,9930.0,212.0,2024
BGD,Bangladesh,2593.0,2820.0,174.0,2024
RUS,Russia,14962.0,15330.0,144.0,2024
ETH,Ethiopia,1134.0,1100.0,132.0,2024
MEX,Mexico,13988.0,12760.0,131.0,2024
JPN,Japan,33797.0,37170.0,124.0,2024
EGY,Egypt,3338.0,3510.0,116.0,2024
PHL,Philippines,3985.0,4470.0,116.0,2024
COD,DR Congo,693.0,680.0,109.0,2024
VNM,Vietnam,4717.0,4490.0,101.0,2024
IRN,Iran,5190.0,5130.0,92.0,2024
TUR,Turkey,15893.0,13430.0,87.0,2024
DEU,Germany,56104.0,55090.0,85.0,2024
THA,Thailand,7387.0,7130.0,72.0,2024
GBR,United Kingdom,53341.0,49320.0,69.0,2024
TZA,Tanzania,1193.0,1210.0,69.0,2024
FRA,France,46103.0,45160.0,66.0,2024
ZAF,South Africa,6267.0,6110.0,63.0,2024
ITA,Italy,40430.0,38640.0,59.0,2024
KEN,Kenya,2133.0,2070.0,56.0,2024
MMR,Myanmar,1359.0,1210.0,54.0,2024
COL,Colombia,7951.0,7090.0,53.0,2024
KOR,South Korea,36239.0,36750.0,52.0,2024
SDN,Sudan,985.0,710.0,50.0,2024
UGA,Uganda,1078.0,1010.0,50.0,2024
ESP,Spain,35327.0,33550.0,48.0,2024
DZA,Algeria,5753.0,5370.0,47.0,2024
IRQ,Iraq,6074.0,6030.0,46.0,2024
ARG,Argentina,13970.0,13530.0,46.0,2024
AFG,Afghanistan,417.0,390.0,43.0,2024
CAN,Canada,55016.0,54110.0,41.0,2024
YEM,Yemen,,600,41.0,2024
MAR,Morocco,4153.0,3840.0,38.0,2024
AGO,Angola,2721.0,2850.0,38.0,2024
UKR,Ukraine,5392.0,5230.0,38.0,2024
POL,Poland,25104.0,21590.0,37.0,2024
UZB,Uzbekistan,3337.0,3170.0,36.0,2024
MYS,Malaysia,11874.0,11650.0,36.0,2024
MOZ,Mozambique,657.0,550.0,35.0,2024
PER,Peru,8526.0,7530.0,34.0,2024
GHA,Ghana,2419.0,2260.0,34.0,2024
