iso3,country,region,n_ops,operators,avg_price,avg_down,avg_up,ppm,gni,gni_note,gdp,bigmac,monthly_inc,pct_income,price_bigmacs,vs_median,pop
VUT,Vanuatu,Oceania,1,Vodafone Vanuatu (TVL),253.37,30.0,30.0,8.4457,4130.0,wb,3960.0,,344.17,73.62,,6.79,0.34
TLS,Timor-Leste,Asia,3,Timor Telecom | Telemor | Telkomcel,150.0,200.0,200.0,0.75,1650.0,wb,1332.0,,137.5,109.09,,4.02,1.4
MRT,Mauritania,Africa,4,Moov Mauritel | Rimatel | Mattel (Mauritania Telecom) | Moov Mauritel (ex-Mauritel),123.96,200.0,,0.6198,2110.0,wb,2105.0,,175.83,70.5,,3.32,5.2
SYC,Seychelles,Africa,3,Cable & Wireless Seychelles | Intelvision | Airtel Seychelles,119.0,267.0,,0.4462,17700.0,wb,18365.0,,1475.0,8.07,,3.19,0.13
NRU,Nauru,Oceania,1,Digicel Nauru,99.69,,,,21940.0,wb,14048.0,,1828.33,5.45,,2.67,0.013
TGO,Togo,Africa,3,Yas Togo (ex-Togocom) | Moov Africa Togo | Libercom,96.19,80.0,,1.2024,1220.0,wb,1266.0,,101.67,94.61,,2.58,9.5
MLI,Mali,Africa,2,Orange Mali | Moov Africa Mali (Malitel),96.19,200.0,,0.4809,1030.0,wb,1093.0,,85.83,112.07,,2.58,24.0
SEN,Senegal,Africa,3,Orange Sénégal | Yas Sénégal | Expresso Sénégal,91.99,117.0,,0.7885,1630.0,wb,1739.0,,135.83,67.72,,2.46,18.0
OMN,Oman,Asia,3,Omantel | Ooredoo Oman | Awasr,88.75,250.0,,0.355,19520.0,wb,20285.0,3.97,1626.67,5.46,22.36,2.38,5.3
ARE,United Arab Emirates,Asia,2,e& (Etisalat) | du,81.42,200.0,200.0,0.4071,51550.0,wb,50274.0,5.17,4295.83,1.9,15.75,2.18,11.0
QAT,Qatar,Asia,2,Ooredoo | Vodafone Qatar,80.36,1000.0,,0.0804,76570.0,wb,75685.0,4.94,6380.83,1.26,16.27,2.15,3.1
TKM,Turkmenistan,Asia,1,Turkmentelekom,80.0,6.0,6.0,13.3333,5640.0,wb,5904.0,,470.0,17.02,,2.14,7.5
LAO,Laos,Asia,3,Lao Telecom | Unitel | ETL,78.78,180.0,180.0,0.4377,2000.0,wb,2124.0,,166.67,47.27,,2.11,7.8
MDV,Maldives,Asia,3,Dhiraagu | Ooredoo Maldives | Focus Infocom,75.66,100.0,50.0,0.7566,11540.0,wb,13379.0,,961.67,7.87,,2.03,0.53
GIN,Guinea,Africa,2,Orange Guinea | MTN Guinea,73.9,30.0,,2.4633,1440.0,wb,1695.0,,120.0,61.58,,1.98,15.0
KEN,Kenya,Africa,3,Safaricom | Jamii Telecommunications | Zuku (Wananchi/Yas),72.33,183.0,,0.3945,2070.0,wb,2133.0,,172.5,41.93,,1.94,56.0
TUV,Tuvalu,Oceania,1,Tuvalu Telecom (TTC),71.21,,,,7970.0,wb,5884.0,,664.17,10.72,,1.91,0.011
UGA,Uganda,Africa,3,MTN Uganda | Liquid Home Uganda | Zuku (Wananchi/Yas),70.33,133.0,,0.5275,1010.0,wb,1078.0,,84.17,83.56,,1.88,50.0
BHS,Bahamas,North America,2,BTC | Cable Bahamas,70.0,275.0,,0.2545,37020.0,wb,39455.0,,3085.0,2.27,,1.87,0.4
AUS,Australia,Oceania,3,Telstra | Optus | TPG,69.55,149.0,28.0,0.4657,62680.0,wb,64610.0,5.95,5223.33,1.33,11.69,1.86,27.0
CHE,Switzerland,Europe,3,Swisscom | Sunrise | Salt,68.94,3433.0,3433.0,0.0201,99920.0,wb,107702.0,9.04,8326.67,0.83,7.63,1.85,8.9
BHR,Bahrain,Asia,3,Batelco | STC Bahrain | Zain Bahrain,68.26,250.0,,0.2731,28170.0,wb,29717.0,4.77,2347.5,2.91,14.31,1.83,1.6
TZA,Tanzania,Africa,3,TTCL | Vodacom Tanzania | Airtel Tanzania,68.0,67.0,100.0,1.02,1210.0,wb,1193.0,,100.83,67.44,,1.82,69.0
CPV,Cabo Verde,Africa,2,Unitel T+ | CVMovel,67.61,100.0,50.0,0.6761,4940.0,wb,5170.0,,411.67,16.42,,1.81,0.53
ZWE,Zimbabwe,Africa,3,TelOne | Liquid Home (ZOL) | Econet Wireless,67.5,52.0,,1.2857,2400.0,wb,2496.0,,200.0,33.75,,1.81,17.0
SAU,Saudi Arabia,Asia,4,STC | Mobily | Zain | Salam,66.86,275.0,88.0,0.2431,35990.0,wb,35528.0,5.06,2999.17,2.23,13.21,1.79,34.0
BFA,Burkina Faso,Africa,3,Orange Burkina Faso | Moov Africa Burkina Faso | Bridge Fiber Solutions (BFS),65.5,125.0,,0.524,850.0,wb,982.0,,70.83,92.46,,1.75,23.0
NGA,Nigeria,Africa,3,ipNX | MTN Nigeria | FiberOne,65.41,207.0,,0.3165,1710.0,wb,1084.0,,142.5,45.9,,1.75,233.0
LIE,Liechtenstein,Europe,3,Telecom Liechtenstein AG (FL1) | Salt (Liechtenstein) AG | SupraNet AG,63.54,567.0,533.0,0.1121,220167.0,wb,220167.0,,18347.25,0.35,,1.7,0.04
MMR,Myanmar,Asia,3,MPT | Myanmar Net | 5BB Broadband,62.78,115.0,115.0,0.5459,1210.0,wb,1359.0,,100.83,62.26,,1.68,54.0
BEL,Belgium,Europe,3,Proximus | Telenet | BASE,61.71,183.0,23.0,0.3366,55290.0,wb,56582.0,,4607.5,1.34,,1.65,12.0
NAM,Namibia,Africa,3,MTC Namibia | Telecom Namibia | Paratus Namibia,61.0,75.0,38.0,0.8133,4290.0,wb,4502.0,,357.5,17.06,,1.63,3.0
DZA,Algeria,Africa,1,Algérie Télécom,59.72,200.0,200.0,0.2986,5370.0,wb,5753.0,,447.5,13.35,,1.6,47.0
LUX,Luxembourg,Europe,3,POST Luxembourg | Eltrona | Tango,58.26,1033.0,683.0,0.0564,84650.0,wb,137782.0,,7054.17,0.83,,1.56,0.67
ZAF,South Africa,Africa,3,Vodacom | MWeb | Vox,58.0,213.0,123.0,0.2719,6110.0,wb,6267.0,3.49,509.17,11.39,16.62,1.55,63.0
