iso3,country,region,n_ops,operators,avg_10gb,per_gb,pct_income,unlim_yes,unlim_throttled,unlim_no,avg_unlimited_price,fiveg_share,fup_summary,gni,gni_note,gdp,bigmac,price_bigmacs,pop
NRU,Nauru,Oceania,1,Digicel,79.75,7.975,4.36,0,0,100,,0,no unlimited offered,21940.0,wb,14048.0,,,0.013
MHL,Marshall Islands,Oceania,1,NTA (National Telecommunications Authority),70.0,7.0,9.87,100,0,0,70.0,0,No fair-use speed cap published - 30-day unlimited pack,8510.0,wb,7590.0,,,0.042
SLE,Sierra Leone,Africa,3,Orange Sierra Leone | Africell Sierra Leone | Qcell Sierra Leone,40.15,4.015,58.76,0,33,0,140.51,0,? ;; throttled after 30GB,820.0,wb,807.0,,,8.6
TUV,Tuvalu,Oceania,1,Tuvalu Telecom (TTC),35.6,3.56,5.36,0,0,100,,0,no unlimited offered,7970.0,wb,5884.0,,,0.011
LSO,Lesotho,Africa,2,Vodacom Lesotho | Econet Telecom Lesotho,35.0,3.5,33.87,0,100,0,42.5,100,FUP applies - threshold not published,1240.0,wb,1023.0,,,2.4
ARE,United Arab Emirates,Asia,3,e& (Etisalat) | du | Virgin Mobile UAE,31.13,3.113,0.72,0,0,100,,100,none (capped plans only; 0 unlimited UAE plans tracked) ;; none (capped prepaid tiers only),51550.0,wb,50274.0,5.17,6.021,11.0
KWT,Kuwait,Asia,3,Zain | Ooredoo | STC Kuwait,30.6,3.06,0.89,67,33,0,68.85,100,fair-use threshold not published - reduced speeds under heavy household use ;; none published for mobile (10 TB soft cap applies to Baity home tiers) ;; not published (postpaid unlimited sits at top of KD 15-50 range),41110.0,wb,32856.0,4.52,6.771,4.9
TCD,Chad,Africa,4,Tigo Chad (Millicom) | Moov Africa Chad | Salam Mobile | Airtel Chad,28.86,2.886,37.24,0,25,75,34.98,0,5GB then 128Kbps ;; none,930.0,wb,981.0,,,18.0
LIE,Liechtenstein,Europe,3,Telecom Liechtenstein AG (FL1) | Salt (Liechtenstein) AG | Swisscom (Liechtenstein),27.96,2.796,0.15,100,0,0,63.88,100,fair-use - domestic unlimited with EU cap ;; fair-use - mirrors Salt CH unlimited terms,220167.0,wb,220167.0,,,0.04
USA,United States,North America,4,T-Mobile | AT&T | Verizon | Mint Mobile,27.5,2.75,0.4,0,100,0,46.25,100,15GB high-speed then throttled to reduced (3G-class) speeds; Unlimited tier = 40GB then may be slowed during congestion ;; Entry-tier hotspot runs at 3G 600Kbps; top tier hotspot capped 250GB then 600Kbps; 100GB then may be slowed during congestion ;; Unlimited Welcome includes NO hotspot and is deprioritized during congestion; Unlimited Ultimate hotspot: unlimited but capped 200GB then slowed to 6Mbps ;; Value 2.0: 5GB high-speed then reduced speeds; hotspot 3GB then drops to 128Kbps (same 128Kbps cap applies to all 2.0 tiers after their allotment),82910.0,wb,86170.0,6.22,4.421,345.0
GNQ,Equatorial Guinea,Africa,1,GETESA,26.23,2.623,5.2,0,0,100,,0,none,6050.0,wb,7004.0,,,1.9
AUS,Australia,Oceania,3,Telstra | Optus | TPG (Vodafone),24.92,2.492,0.48,0,100,0,33.47,100,1.5Mbps after plan allowance on postpaid (no excess fees); prepaid gets neither unlimited nor speed-capped data ;; Endless data capped at 1.5Mbps after max-speed allowance ;; Postpaid Infinite capped 2/10/25Mbps by tier; prepaid infinite capped at 1.5Mbps for the rest of the 28 days,62680.0,wb,64610.0,5.95,4.188,27.0
CAN,Canada,North America,3,Rogers | Bell | Telus,24.33,2.433,0.54,0,100,0,58.0,100,No overage: after the plan's high-speed bucket (60-100GB) data continues at reduced speed up to 512Kbps ;; No overage; reduced speed after the high-speed bucket during network congestion (Fair Usage) - GB threshold not published here - VERIFY ;; Unlimited data with no overage; speed reduced during congestion after the included high-speed bucket (Fair Usage),54110.0,wb,55016.0,5.81,4.188,41.0
BHR,Bahrain,Asia,3,Batelco | STC Bahrain | Zain Bahrain,23.94,2.394,1.02,100,0,0,53.19,100,none published (FUP flagged on 5G Home Unlimited - not on mobile) ;; none published (SimSim 20 unlimited everything) ;; none published (postpaid Wiyana top tier unlimited 5G),28170.0,wb,29717.0,4.77,5.019,1.6
CHE,Switzerland,Europe,3,Swisscom | Sunrise | Salt,23.92,2.392,0.29,100,0,0,53.92,100,fair-use - domestic unlimited; EU/EEA allotment per Roam-Like-at-Home ;; fair-use - swiss unlimited domestic with an EU zone allotment ;; unlimited in CH at max 5G speed - Start Max includes only 4GB in the Salt EUROPE zone,99920.0,wb,107702.0,9.04,2.646,8.9
OMN,Oman,Asia,3,Ooredoo Oman | Omantel | Friendi (MVNO),22.76,2.276,1.4,67,0,33,51.89,67,none (no unlimited plan sold; 3GB-45GB caps only) ;; none published (Hala 18 unlimited data + calls; separate 3 OMR daily unlimited pack carries FUP) ;; none published (Hayyak 20 unlimited everything),19520.0,wb,20285.0,3.97,5.733,5.3
QAT,Qatar,Asia,2,Ooredoo | Vodafone Qatar,22.66,2.266,0.36,50,50,0,54.95,100,FUP on unlimited offers (3 QAR daily unlimited pack capped; Shahry+ threshold not published) ;; none published (no threshold disclosed on Flex 200),76570.0,wb,75685.0,4.94,4.588,3.1
GRC,Greece,Europe,3,COSMOTE (OTE) | Vodafone Greece | Nova,22.58,2.258,1.19,33,67,0,45.93,100,60GB at full speed then throttled on Unlimited Max; 200GB fair-use cited on the Unlimited 5G tier ;; EU roaming fair-use of 93.5GB on GIGAMAX Unlimited - no published domestic cap ;; video streams optimised to 720p on unlimited plans - no volume cap published,22730.0,wb,24626.0,,,10.4
SAU,Saudi Arabia,Asia,4,STC | Mobily | Zain | Salam,21.76,2.176,0.73,100,0,0,88.2,100,none published (no FUP threshold disclosed) ;; truly unlimited (STC states quicknet prepaid has no FUP) ;; truly unlimited (operator/guide state no FUP throttling on unlimited),35990.0,wb,35528.0,5.06,4.3,34.0
PLW,Palau,Oceania,1,PNCC (PalauCel),21.2,2.12,1.5,0,0,100,,0,no unlimited offered (prepaid mobile data is 16c per MB),16920.0,wb,18169.0,,,0.018
KOR,South Korea,Asia,3,KT | SK Telecom | LG U+,20.77,2.077,0.68,67,33,0,47.58,100,300MB then 400kbps QoS; 1Mbps from ₩55000; 3Mbps ₩68000; 5Mbps ₩70000; true unlimited only from ₩85000 데이터플랜MAX ;; truly unlimited (베스트 unlimited tiers ₩89000-129000); lower tiers get free 400kbps 안심데이터 after quota ;; truly unlimited (베이직80 / 초이스 완전 무제한); lower tiers 14GB then 1Mbps or 10GB then 400kbps,36750.0,wb,36239.0,3.84,5.41,52.0
WSM,Samoa,Oceania,2,Digicel | Vodafone Samoa,20.27,2.026,4.83,0,0,100,,50,no unlimited offered,5040.0,wb,5393.0,,,0.22
