kind,iso3,operator,url
fiber,AFG,Afghan Telecom (Salaam),https://www.afghantelecom.af/en/service-list/internet/fttx
fiber,AFG,Afghan Wireless Communication Company (AWCC),https://en.wikipedia.org/wiki/Afghan_Wireless
fiber,AFG,Etisalat Afghanistan,https://www.etisalat.af/
fiber,AGO,Africell Angola,https://www.africell.ao/konekta/plans/Konekta-5G/
fiber,AGO,Unitel,https://unitel.ao/wp-content/uploads/share_upload/2025/12/Novos-Planos-UNITEL_2.pdf
fiber,ALB,ALBtelecom,https://www.albtelecom.al
fiber,ALB,ONE Albania,https://one.al
fiber,ALB,Abissnet,https://www.abissnet.net
fiber,AND,Andorra Telecom,https://www.andorratelecom.ad
fiber,AND,Movistar España,https://www.movistar.es
fiber,AND,Orange France,https://www.orange.fr
fiber,ARE,e& (Etisalat),https://giraffy.com/uae/en/internet/fiber-internet
fiber,ARE,du,https://giraffy.com/uae/en/internet/fiber-internet
fiber,ARG,Fibertel,https://www.personal.com.ar
fiber,ARG,Claro,https://www.claro.com.ar
fiber,ARG,Telecentro,https://www.telecentro.com.ar
fiber,ARM,Ucom,https://www.ucom.am/en
fiber,ARM,Telecom Armenia (Beeline / Team),https://www.telecomarmenia.am/en/
fiber,ARM,Viva Armenia,https://www.viva.am/en
fiber,ATG,Flow,https://www.flowantigua.com
fiber,ATG,Digicel,https://www.digicelgroup.com
fiber,AUS,Telstra,https://nbntracker.au/providers/telstra
fiber,AUS,Optus,https://www.comparebroadband.com.au/internet-providers/optus-broadband/
fiber,AUS,TPG,https://nbntracker.au/providers/tpg
fiber,AUT,A1,https://www.a1.net
fiber,AUT,Magenta,https://www.magenta.at
fiber,AUT,Drei (Hutchison Drei),https://www.drei.at
fiber,AZE,Aztelekom,https://aztelekom.az/en/menu/154-tarifler
fiber,AZE,Azeronline (Azercell group),https://www.azercell.com/en
fiber,AZE,Bakcell,https://www.bakcell.com/en
fiber,BDI,ONATEL,https://onatel.bi/
fiber,BDI,Lumitel,https://lumitel.bi/
fiber,BEL,Proximus,https://www.proximus.be
fiber,BEL,Telenet,https://www.telenet.be
fiber,BEL,BASE,https://www.base.be
fiber,BEN,Canalbox Benin,https://cafti-group.com/internet-domicile-benin-mtn-moov-comparatif-2026
fiber,BEN,MTN Benin,https://cafti-group.com/internet-domicile-benin-mtn-moov-comparatif-2026
fiber,BEN,Moov Africa Benin,https://cafti-group.com/internet-domicile-benin-mtn-moov-comparatif-2026
fiber,BFA,Orange Burkina Faso,https://www.facebook.com/people/Fibre-Orange-Burkina/61582401368112/
fiber,BFA,Moov Africa Burkina Faso,https://vosreponses.com/quels-sont-les-meilleurs-forfaits-internet-en-burkina-faso/
fiber,BFA,Bridge Fiber Solutions (BFS),https://www.bfs.bf/
fiber,BGD,Link3 Technologies,https://link3.net/packages
fiber,BGD,Fiber@Home Ltd,https://fiberathome.net/
fiber,BGD,Bangladesh Telecommunications Company (BTCL),https://www.thedailystar.net/news/btcl-slashes-internet-price-introduces-new-packages-4078371
fiber,BGR,Vivacom,https://www.vivacom.bg
fiber,BGR,A1 Bulgaria,https://en.wikipedia.org/wiki/A1_Bulgaria
fiber,BGR,Yettel Bulgaria,https://ontology.point-topic.com/profiles/operators/yettel-bulgaria
fiber,BHR,Batelco,https://gsmplans.com/plan/bahrain/batelco-ultra-home-internet-bahrain/
fiber,BHR,STC Bahrain,https://gsmplans.com/plan/bahrain/stc-bahrain-internet-packages/
fiber,BHR,Zain Bahrain,https://gsmplans.com/plan/bahrain/zain-bahrain-internet-packages/
fiber,BHS,BTC,https://www.btcbahamas.com/internet-overview
fiber,BHS,Cable Bahamas,https://cablebahamas.com/our-services/
fiber,BIH,BH Telecom,https://www.bhtelecom.ba
fiber,BIH,Telemach Bosnia and Herzegovina,https://telemach.ba
fiber,BIH,m:tel Bosnia and Herzegovina,https://www.mtel.ba
fiber,BLR,Beltelecom (byfly),https://beltelecom.by/en/private/internet
fiber,BLR,MTS Belarus,https://www.mts.by
fiber,BLR,A1 Belarus,https://www.a1.by
fiber,BLZ,Digi,https://livedigi.com/diginet/
fiber,BLZ,SMART,https://www.smart-bz.com/
fiber,BOL,Nuevatel,https://www.viva.com.bo
fiber,BOL,Entel,https://www.entel.bo
fiber,BOL,Tigo,https://www.tigo.com.bo
fiber,BRA,Vivo,https://vivo.com.br/para-voce/produtos-e-servicos/para-casa/internet
fiber,BRA,Claro,https://www.claro.com.br/internet/banda-larga/fibra-otica
fiber,BRA,TIM,https://www.tim.com.br
fiber,BRB,Flow,https://www.flowbarbados.com
fiber,BRB,Digicel,https://www.digicelgroup.com
fiber,BRN,imagine (TelBru),https://www.imagine.com.bn/
fiber,BRN,DST (Datastream Digital),https://dst.com.bn/infinity-plan/
fiber,BRN,Progresif,https://www.progresif.com/
fiber,BTN,Bhutan Telecom (DrukNet),https://www.bt.bt/
fiber,BTN,Tashi InfoComm,https://www.tashicell.com/
fiber,BTN,SuperNet InfoComm,https://supernetbhutan.com/
fiber,BWA,Botswana Telecom (BTC),https://btc.bw/product/home-internet/
fiber,BWA,Orange Botswana,https://www.orange.co.bw/
fiber,CAF,Orange RCA,http://www.orange.cf/
fiber,CAF,Telecel Centrafrique,https://www.telecomtrainer.com/list-of-mobile-operators-in-central-african-republic/
fiber,CAN,Bell,https://www.bell.ca/Bell_Internet/Products/Fibe-Internet-150-FTTH/
fiber,CAN,Rogers,http://www.bell-vs-rogers.com/internet/compare/Rogers-Ignite-Internet-150/
fiber,CAN,Telus,https://www.telus.com/deals-and-bundles/internet-500
fiber,CHE,Swisscom,https://www.swisscom.ch
fiber,CHE,Sunrise,https://www.sunrise.ch
fiber,CHE,Salt,https://www.salt.ch
fiber,CHL,Movistar,https://ofertas.movistar.cl/hogar/multioferta-fija-c/?tab=home
fiber,CHL,Claro,https://www.clarochile.cl/personas/servicios/servicios-hogar/
fiber,CHL,WOM,https://store.wom.cl/hogar/internet-fibra-optica
fiber,CHN,China Telecom,https://www.chinatelecom.com.cn/
fiber,CHN,China Unicom,https://www.10010.com/
fiber,CHN,China Mobile,https://www.10086.cn/
fiber,CIV,Orange Côte d'Ivoire,https://www.orange.ci/
fiber,CIV,Moov Africa Côte d'Ivoire,https://www.moov-africa.ci/fibre
fiber,CIV,MTN Côte d'Ivoire,https://www.mtn.ci/
fiber,CMR,Camtel,https://www.camtel.cm/
fiber,CMR,MTN Cameroon,https://mtn.cm/fr/helppersonal/mtn-offers/
fiber,CMR,Orange Cameroon,https://www.orange.cm/fr/internet.html
fiber,COD,Airtel DRC,https://www.airtel.cd/
fiber,COD,Vodacom DRC,https://www.vodacom.cd/fr/particulier/nos-offres/js8/js8-internet
fiber,COD,Orange DRC,https://www.orange.cd/
fiber,COG,Congo Telecom,https://www.arpce.cg/
fiber,COG,MTN Congo,https://mtn.cg/particuliers/offres-mobiles/internet-en-fin-de-forfait-internet/
fiber,COG,Airtel Congo,https://blog.iambeezy.app/fr/forfaits-internet-mtn-airtel-congo-2026-comparatif-plans/
fiber,COL,Claro,https://www.claro.com.co
fiber,COL,Movistar,https://www.movistar.com.co
fiber,COL,Tigo,https://www.tigo.com.co
fiber,COM,Comores Telecom,https://en.wikipedia.org/wiki/Telecommunications_in_the_Comoros
fiber,CPV,Unitel T+,https://www.uniteltmais.cv/private/home/home-plus-bundles
fiber,CPV,CVMovel,https://www.caboverdeexpert.com/cape-verde-communication-and-internet/
fiber,CRI,Kolbi,https://www.kolbi.cr/wps/portal/kolbi/hogares/servicios-kolbi-hogar/internet/
fiber,CRI,Liberty,https://libertycr.com/web/hogar/planes-fibra-optica
fiber,CRI,Telecable,https://www.pressreader.com/costa-rica/el-financiero-costa-rica/20260509/281483578005370
fiber,CUB,ETECSA,https://www.etecsa.cu
fiber,CYP,CYTA,https://www.cyta.com.cy/
fiber,CYP,PrimeTel,https://www.primetel.com.cy/en
fiber,CYP,Cablenet,https://www.cablenet.com.cy/en/
fiber,CZE,O2 Czech Republic,https://www.o2.cz
fiber,CZE,T-Mobile Czech Republic,https://www.t-mobile.cz
fiber,CZE,Vodafone Czech Republic,https://www.vodafone.cz
fiber,DEU,Deutsche Telekom,https://www.telekom.de
fiber,DEU,Vodafone Deutschland,https://www.vodafone.de
fiber,DEU,1&1 Telekom,https://www.1und1.de
fiber,DJI,afrifiber (AfriFiber),https://www.afrifiber.com/
fiber,DMA,Flow,https://www.flowdominica.com
fiber,DMA,Digicel,https://www.digicelgroup.com
fiber,DNK,YouSee (TDC),https://billig-fiber.dk/internetudbydere
fiber,DNK,Norlys,https://billig-fiber.dk/internetudbydere
fiber,DNK,Telenor Denmark,https://billig-fiber.dk/internetudbydere
fiber,DOM,Altice,https://altice.com.do
fiber,DOM,Claro,https://www.claro.com.do
fiber,DOM,Wind Telecom,https://www.wind.com.do
fiber,DZA,Algérie Télécom,https://zoomalgerie.com/fibre-optique-algerie-idoom-prix-offres-eligibilite/
fiber,ECU,CNT,https://www.cnt.gob.ec
fiber,ECU,Movistar,https://www.movistar.com.ec
fiber,ECU,Xtrim,https://www.xtrim.com.ec
fiber,EGY,Telecom Egypt (WE),https://flatswipe.app/en/guides-egypt/egypt-home-internet
fiber,ERI,EriTel,https://eritel.com.er/
fiber,ESP,Movistar,https://www.movistar.es
fiber,ESP,Orange España,https://www.orange.es
fiber,ESP,Vodafone España,https://www.vodafone.es
fiber,EST,Telia Eesti,https://www.telia.ee/en/era/internet/koduinternet/
fiber,EST,Elisa Eesti,https://www.elisa.ee/et/eraklient/internet/kodus/koduinternet-ja-tv-paketid
fiber,EST,STV,https://www.stv.ee
fiber,ETH,Ethio Telecom,https://planspapa.com/offer/ethio-telecom-wifi-packages/
fiber,ETH,Safaricom Ethiopia,https://www.safaricom.et/
fiber,FIN,Elisa,https://www.elisa.fi
fiber,FIN,DNA,https://www.dna.fi
fiber,FIN,Telia Finland,https://www.telia.fi
fiber,FJI,Telecom Fiji,https://telecom.com.fj/
fiber,FJI,Vodafone Fiji,https://www.vodafone.com.fj/personal/price-plans/broadband/5g-broadband-plans
fiber,FJI,Digicel Fiji,https://www.digicelpacific.com/mobile/fj/bundles
fiber,FRA,Orange,https://www.orange.fr
fiber,FRA,SFR,https://www.sfr.fr
fiber,FRA,Free,https://www.free.fr
fiber,FSM,FSM Telecommunications Corp,https://fsmtc.fm/internet
fiber,GAB,Moov Africa Gabon (Gabon Telecom),https://www.moov-africa.ga/
